family,r2,rho,n,n_options
global_mmlu_full,0.21711788779611935,-0.19999999999999998,222,4.0
include_base_44,0.24842441677230198,0.0,258,4.0
belebele,0.28808827141951365,0.39999999999999997,630,4.0
global_piqa_nonparallel_cloze,0.3258203350463852,0.1263523138347365,24,2.0
global_piqa_parallel_cloze,0.3359630684152121,0.21081851067789195,546,2.0
xcopa,0.5690088098130969,0.5,66,2.0
truthfulqa-multi_mc1,0.6755440495195548,-0.566227766016838,18,4.0
paws,0.6769548082266663,0.7999999999999999,60,2.0
arc,0.7594458069231951,0.7999999999999999,198,4.0
xnli,0.805045675383222,0.7999999999999999,108,3.0
multiblimp,0.8458842750545597,0.9746794344808964,342,2.0
hellaswag,0.9062602303831941,1.0,186,4.0
xwinograd,0.936409669736721,1.0,36,2.0
loss,0.9372595963905295,-0.9999999999999999,6,
xstorycloze,0.9437231604635445,1.0,78,2.0
bpb,0.9546544269892481,-0.9999999999999999,600,
lambada_openai_mt,0.9874133345238282,1.0,30,
