population,group,size,n_matching,n_comparable,reliability_macro,n_tasks,median_pairs,compute,frac,reliability,non_emb,reference_size,tau,reaches_tau,n_min_size,share_L,share_T,share_arch,share_lang2,share_list,share_multi,se,n_families,lo,hi,panel,proxy_size,da,tasks,chinchilla,L
all benchmarks,all pairs,175M,8749.0,16487.0,0.5198724682742103,227.0,66.0,3.38561735126792e+19,1.0,0.53066052041002,175000000.0,1.7B,0.9,False,,0.1345908897919573,0.0449445017286346,0.0679929641535755,0.0003639230909201,0.0293564626675562,0.7227512585673561,0.0152553651464716,23.0,0.5055654447440742,0.5557555960759658,DA-size,,,,,
all benchmarks,all pairs,350M,13529.0,25257.0,0.5298842250738898,321.0,66.0,1.0941952910731913e+20,1.0,0.5356534822029536,350000000.0,1.7B,0.9,False,,0.1382982935423843,0.042126935107099,0.065328423803302,0.0011086035554499,0.02858613453696,0.7245516094548046,0.0144150303245213,23.0,0.5119407573191159,0.5593662070867913,DA-size,,,,,
all benchmarks,all pairs,600M,15638.0,28752.0,0.5485992158407692,352.0,66.0,3.033437522295615e+20,1.0,0.5438925987757374,600000000.0,1.7B,0.9,False,,0.1402685030606566,0.0409362826933778,0.0646215915414579,0.0010781858653311,0.0280328324986087,0.7250626043405676,0.0128210063493978,23.0,0.5228020433309778,0.5649831542204969,DA-size,,,,,
all benchmarks,all pairs,1B,16807.0,30201.0,0.5692215361783397,387.0,66.0,6.870658220042178e+20,1.0,0.5565047514982947,1000000000.0,1.7B,0.9,False,,0.139333134664415,0.0422502566140194,0.0659911923446243,0.0010264560776133,0.0280785404456806,0.7233204198536473,0.020725369427109,23.0,0.5224115187907002,0.5905979842058892,DA-size,,,,,
all benchmarks,all pairs,1.7B,33579.0,33579.0,1.0,436.0,66.0,2.003744084334545e+21,1.0,1.0,1700000000.0,1.7B,0.9,True,,0.1383007236665773,0.0425563596295303,0.0663509931802614,0.0010125375979034,0.028231930670955,0.7235474552547724,0.0,23.0,1.0,1.0,DA-size,,,,,
,all benchmarks,,,,,,66.0,,0.1,,,,,,,,,,,,,,,,,DA-ckpt,1.7B,0.5287997114317395,436.0,0.5,all
,all benchmarks,,,,,,66.0,,0.1,,,,,,,,,,,,,,,,,DA-ckpt,175M,0.4943610182210798,254.0,0.5,all
,all benchmarks,,,,,,66.0,,0.1,,,,,,,,,,,,,,,,,DA-ckpt,350M,0.5137841423513875,329.0,0.5,all
,all benchmarks,,,,,,66.0,,0.1,,,,,,,,,,,,,,,,,DA-ckpt,1B,0.5275453279813348,392.0,0.5,all
,all benchmarks,,,,,,66.0,,0.1,,,,,,,,,,,,,,,,,DA-ckpt,600M,0.5331974603178593,358.0,0.5,all
,all benchmarks,,,,,,66.0,,0.2,,,,,,,,,,,,,,,,,DA-ckpt,1B,0.5484834234182657,392.0,1.0,all
,all benchmarks,,,,,,66.0,,0.2,,,,,,,,,,,,,,,,,DA-ckpt,175M,0.5233120853948283,254.0,1.0,all
,all benchmarks,,,,,,66.0,,0.2,,,,,,,,,,,,,,,,,DA-ckpt,350M,0.5393219335931725,329.0,1.0,all
,all benchmarks,,,,,,66.0,,0.2,,,,,,,,,,,,,,,,,DA-ckpt,600M,0.5557881146636259,358.0,1.0,all
,all benchmarks,,,,,,66.0,,0.2,,,,,,,,,,,,,,,,,DA-ckpt,1.7B,0.5608519232822344,436.0,1.0,all
,all benchmarks,,,,,,66.0,,0.3,,,,,,,,,,,,,,,,,DA-ckpt,1.7B,0.5899386245521479,436.0,1.5,all
,all benchmarks,,,,,,66.0,,0.3,,,,,,,,,,,,,,,,,DA-ckpt,175M,0.562862592361958,254.0,1.5,all
,all benchmarks,,,,,,66.0,,0.3,,,,,,,,,,,,,,,,,DA-ckpt,350M,0.5702334583646975,329.0,1.5,all
,all benchmarks,,,,,,66.0,,0.3,,,,,,,,,,,,,,,,,DA-ckpt,600M,0.5735722660179681,358.0,1.5,all
,all benchmarks,,,,,,66.0,,0.3,,,,,,,,,,,,,,,,,DA-ckpt,1B,0.5823549076480226,392.0,1.5,all
,all benchmarks,,,,,,66.0,,0.4,,,,,,,,,,,,,,,,,DA-ckpt,1B,0.5811111528713501,392.0,2.0,all
,all benchmarks,,,,,,66.0,,0.4,,,,,,,,,,,,,,,,,DA-ckpt,600M,0.5961943066129551,358.0,2.0,all
,all benchmarks,,,,,,66.0,,0.4,,,,,,,,,,,,,,,,,DA-ckpt,350M,0.5954617039878078,329.0,2.0,all
,all benchmarks,,,,,,66.0,,0.4,,,,,,,,,,,,,,,,,DA-ckpt,175M,0.6374895807739059,254.0,2.0,all
,all benchmarks,,,,,,66.0,,0.4,,,,,,,,,,,,,,,,,DA-ckpt,1.7B,0.6002531516287118,436.0,2.0,all
,all benchmarks,,,,,,66.0,,0.5,,,,,,,,,,,,,,,,,DA-ckpt,350M,0.6317807992294551,329.0,2.5,all
,all benchmarks,,,,,,66.0,,0.5,,,,,,,,,,,,,,,,,DA-ckpt,1B,0.5949640546186402,392.0,2.5,all
,all benchmarks,,,,,,66.0,,0.5,,,,,,,,,,,,,,,,,DA-ckpt,1.7B,0.6138141777887024,436.0,2.5,all
,all benchmarks,,,,,,66.0,,0.5,,,,,,,,,,,,,,,,,DA-ckpt,175M,0.6666085071532362,254.0,2.5,all
,all benchmarks,,,,,,66.0,,0.5,,,,,,,,,,,,,,,,,DA-ckpt,600M,0.6013876038377163,358.0,2.5,all
,all benchmarks,,,,,,55.0,,0.6,,,,,,,,,,,,,,,,,DA-ckpt,175M,0.7083619436142083,254.0,3.0,all
,all benchmarks,,,,,,66.0,,0.6,,,,,,,,,,,,,,,,,DA-ckpt,350M,0.6664811155122782,329.0,3.0,all
,all benchmarks,,,,,,66.0,,0.6,,,,,,,,,,,,,,,,,DA-ckpt,600M,0.6257769660485388,358.0,3.0,all
,all benchmarks,,,,,,66.0,,0.6,,,,,,,,,,,,,,,,,DA-ckpt,1B,0.6250260579683196,392.0,3.0,all
,all benchmarks,,,,,,66.0,,0.6,,,,,,,,,,,,,,,,,DA-ckpt,1.7B,0.6191410476273849,436.0,3.0,all
,all benchmarks,,,,,,66.0,,0.7,,,,,,,,,,,,,,,,,DA-ckpt,1.7B,0.6442800433047092,436.0,3.5,all
,all benchmarks,,,,,,66.0,,0.7,,,,,,,,,,,,,,,,,DA-ckpt,175M,0.738379649052695,254.0,3.5,all
,all benchmarks,,,,,,66.0,,0.7,,,,,,,,,,,,,,,,,DA-ckpt,600M,0.6413893193669772,358.0,3.5,all
,all benchmarks,,,,,,66.0,,0.7,,,,,,,,,,,,,,,,,DA-ckpt,350M,0.7028552864492362,329.0,3.5,all
,all benchmarks,,,,,,66.0,,0.7,,,,,,,,,,,,,,,,,DA-ckpt,1B,0.6464493637050389,392.0,3.5,all
,all benchmarks,,,,,,66.0,,0.8,,,,,,,,,,,,,,,,,DA-ckpt,350M,0.7596817529496945,329.0,4.0,all
,all benchmarks,,,,,,66.0,,0.8,,,,,,,,,,,,,,,,,DA-ckpt,1.7B,0.6595197810215883,436.0,4.0,all
,all benchmarks,,,,,,66.0,,0.8,,,,,,,,,,,,,,,,,DA-ckpt,1B,0.6744151250197948,392.0,4.0,all
,all benchmarks,,,,,,66.0,,0.8,,,,,,,,,,,,,,,,,DA-ckpt,600M,0.686281127760804,358.0,4.0,all
,all benchmarks,,,,,,66.0,,0.8,,,,,,,,,,,,,,,,,DA-ckpt,175M,0.7803947904275361,254.0,4.0,all
,all benchmarks,,,,,,66.0,,0.9,,,,,,,,,,,,,,,,,DA-ckpt,1B,0.7521903662911925,392.0,4.5,all
