intervention,label,population,L,proxy_size,frac,reference_size,n_items,decision_acc,n_decided,decision_acc_decided,mean_abs_delta_proxy,mean_abs_delta_ref,reference_prefers
arch,depth (deep vs shallow),benchmark,1,175M,0.1,1.7B,9,0.5555555555555556,1,,,,
arch,depth (deep vs shallow),benchmark,1,350M,0.1,1.7B,9,0.4444444444444444,1,,,,
arch,depth (deep vs shallow),benchmark,1,600M,0.1,1.7B,89,0.4157303370786517,22,0.3636363636363636,,,
arch,depth (deep vs shallow),benchmark,1,1B,0.1,1.7B,89,0.5280898876404494,22,0.5,,,
arch,depth (deep vs shallow),benchmark,1,1.7B,0.1,1.7B,89,0.4943820224719101,22,0.5909090909090909,,,
arch,depth (deep vs shallow),benchmark,1,175M,0.2,1.7B,9,0.2222222222222222,1,,,,
arch,depth (deep vs shallow),benchmark,1,350M,0.2,1.7B,9,0.7777777777777778,1,,,,
arch,depth (deep vs shallow),benchmark,1,600M,0.2,1.7B,89,0.4382022471910112,22,0.3181818181818182,,,
arch,depth (deep vs shallow),benchmark,1,1B,0.2,1.7B,89,0.4382022471910112,22,0.5,,,
arch,depth (deep vs shallow),benchmark,1,1.7B,0.2,1.7B,89,0.550561797752809,22,0.5454545454545454,,,
arch,depth (deep vs shallow),benchmark,1,175M,0.3,1.7B,9,0.2222222222222222,1,,,,
arch,depth (deep vs shallow),benchmark,1,350M,0.3,1.7B,9,0.5555555555555556,1,,,,
arch,depth (deep vs shallow),benchmark,1,600M,0.3,1.7B,89,0.4382022471910112,22,0.3636363636363636,,,
arch,depth (deep vs shallow),benchmark,1,1B,0.3,1.7B,89,0.4382022471910112,22,0.6363636363636364,,,
arch,depth (deep vs shallow),benchmark,1,1.7B,0.3,1.7B,89,0.4606741573033708,22,0.4545454545454545,,,
arch,depth (deep vs shallow),benchmark,1,175M,0.4,1.7B,9,0.3333333333333333,1,,,,
arch,depth (deep vs shallow),benchmark,1,350M,0.4,1.7B,9,0.5555555555555556,1,,,,
arch,depth (deep vs shallow),benchmark,1,600M,0.4,1.7B,89,0.449438202247191,22,0.2272727272727272,,,
arch,depth (deep vs shallow),benchmark,1,1B,0.4,1.7B,89,0.4831460674157303,22,0.5909090909090909,,,
arch,depth (deep vs shallow),benchmark,1,1.7B,0.4,1.7B,89,0.4719101123595505,22,0.3636363636363636,,,
arch,depth (deep vs shallow),benchmark,1,175M,0.5,1.7B,9,0.5555555555555556,1,,,,
arch,depth (deep vs shallow),benchmark,1,350M,0.5,1.7B,9,0.7777777777777778,1,,,,
arch,depth (deep vs shallow),benchmark,1,600M,0.5,1.7B,89,0.4157303370786517,22,0.2272727272727272,,,
arch,depth (deep vs shallow),benchmark,1,1B,0.5,1.7B,89,0.4943820224719101,22,0.6818181818181818,,,
arch,depth (deep vs shallow),benchmark,1,1.7B,0.5,1.7B,89,0.4606741573033708,22,0.4545454545454545,,,
arch,depth (deep vs shallow),benchmark,1,175M,0.6,1.7B,9,0.3333333333333333,1,,,,
