intervention,label,population,proxy_size,frac,da,cells,items,refs
arch,depth (deep vs shallow),benchmark,1.7B,0.1,0.4698404156130831,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,1.7B,0.2,0.4930434426827981,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,1.7B,0.3,0.5008806316264578,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,1.7B,0.4,0.5264315280513968,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,1.7B,0.5,0.5247023150977012,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,1.7B,0.6,0.539247975709492,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,1.7B,0.7,0.5800245693763427,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,1.7B,0.8,0.5858512355040102,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,1.7B,0.9,0.7125553605380097,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,175M,0.1,0.5000117766517452,6,1966,1.7B
arch,depth (deep vs shallow),benchmark,175M,0.2,0.39864730667782244,6,1966,1.7B
arch,depth (deep vs shallow),benchmark,175M,0.3,0.46840518483453836,6,1966,1.7B
arch,depth (deep vs shallow),benchmark,175M,0.4,0.45286780452416703,6,1966,1.7B
arch,depth (deep vs shallow),benchmark,175M,0.5,0.4975114597648877,6,1966,1.7B
arch,depth (deep vs shallow),benchmark,175M,0.6,0.449894202076444,6,1495,1.7B
arch,depth (deep vs shallow),benchmark,175M,0.7,0.4985523417775461,6,1966,1.7B
arch,depth (deep vs shallow),benchmark,175M,0.8,0.4975735934430942,6,1966,1.7B
arch,depth (deep vs shallow),benchmark,175M,0.9,0.5248131877515402,6,1966,1.7B
arch,depth (deep vs shallow),benchmark,175M,1.0,0.5107485344242862,6,1966,1.7B
arch,depth (deep vs shallow),benchmark,1B,0.1,0.4832075235779689,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,1B,0.2,0.4726747516216636,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,1B,0.3,0.4846936446679427,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,1B,0.4,0.48131739862884954,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,1B,0.5,0.45615994209191224,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,1B,0.6,0.4493707855268105,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,1B,0.7,0.5074080259965275,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,1B,0.8,0.5107894361922695,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,1B,0.9,0.4890635772319107,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,1B,1.0,0.49251857353832973,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,350M,0.1,0.42969272900434524,6,2055,1.7B
arch,depth (deep vs shallow),benchmark,350M,0.2,0.525889060093607,6,2055,1.7B
arch,depth (deep vs shallow),benchmark,350M,0.3,0.467303098916009,6,2055,1.7B
arch,depth (deep vs shallow),benchmark,350M,0.4,0.49785895609187075,6,2055,1.7B
arch,depth (deep vs shallow),benchmark,350M,0.5,0.49516928657891857,6,2055,1.7B
arch,depth (deep vs shallow),benchmark,350M,0.6,0.4220191993477866,6,2055,1.7B
arch,depth (deep vs shallow),benchmark,350M,0.7,0.5130277361762884,6,2055,1.7B
arch,depth (deep vs shallow),benchmark,350M,0.8,0.4667185222822019,6,2055,1.7B
arch,depth (deep vs shallow),benchmark,350M,0.9,0.48626706464856256,6,2055,1.7B
arch,depth (deep vs shallow),benchmark,350M,1.0,0.4861338760782268,6,2055,1.7B
arch,depth (deep vs shallow),benchmark,600M,0.1,0.41857055395094195,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,600M,0.2,0.4590004813831585,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,600M,0.3,0.4390971424682226,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,600M,0.4,0.4576478417517449,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,600M,0.5,0.4571709616274617,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,600M,0.6,0.4589309080343842,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,600M,0.7,0.4722770619620871,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,600M,0.8,0.46885422996030085,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,600M,0.9,0.47971133335751454,6,2135,1.7B
arch,depth (deep vs shallow),benchmark,600M,1.0,0.4592924991255394,6,2135,1.7B
arch,depth (deep vs shallow),bpb_macro,1.7B,0.1,0.5,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,1.7B,0.2,0.5,6,6,1.7B
