task,family,language,n_size_fits,r2_size,rho_size,n_trajectory_fits,r2_trajectory,regime
arc_challenge,arc,en,6,0.9958805894202372,1.0,18,0.9111837333810253,predictable across both
arc_easy,arc,en,6,0.9834599621053712,1.0,30,0.9473175787076897,predictable across both
bpb_arb_Arab,bpb,ar,3,0.957456665543704,1.0,15,0.9179538209436238,predictable across both
bpb_ben_Beng,bpb,bn,2,0.9663391424469874,1.0,10,0.9335112498457045,predictable across both
bpb_bul_Cyrl,bpb,bg,2,0.943399269806287,1.0,10,0.900660052762652,predictable across both
bpb_ces_Latn,bpb,cs,2,0.9431296591334497,1.0,10,0.8919935772604063,predictable across both
bpb_cmn_Hani,bpb,zh,4,0.9467484022155668,1.0,20,0.8768959495609071,predictable across both
bpb_dan_Latn,bpb,da,2,0.9527458046679709,1.0,10,0.8987371473785308,predictable across both
bpb_dclm,bpb,en,6,0.9548446020607676,1.0,30,0.8676336320380795,predictable across both
bpb_deu_Latn,bpb,de,4,0.9447978468661518,1.0,20,0.8844422740732513,predictable across both
bpb_ell_Grek,bpb,el,2,0.9481747463056172,1.0,10,0.9077431475524836,predictable across both
bpb_fas_Arab,bpb,fa,3,0.9502182136483188,1.0,15,0.9036465623726628,predictable across both
bpb_fin_Latn,bpb,fi,2,0.960989451795027,1.0,10,0.919258807293727,predictable across both
bpb_fra_Latn,bpb,fr,4,0.9430443877202364,1.0,20,0.8742980754841734,predictable across both
bpb_hin_Deva,bpb,hi,2,0.9671514050674114,1.0,10,0.9318993160102307,predictable across both
bpb_hun_Latn,bpb,hu,2,0.957738357685606,1.0,10,0.9136481805481502,predictable across both
bpb_ind_Latn,bpb,id,3,0.9474580112309868,1.0,15,0.8811043739794554,predictable across both
bpb_ita_Latn,bpb,it,4,0.9461754897186496,1.0,20,0.8793018030686932,predictable across both
bpb_jpn_Jpan,bpb,ja,4,0.9521007666207879,1.0,20,0.9033698773477429,predictable across both
bpb_kor_Hang,bpb,ko,2,0.955981800176313,1.0,10,0.9221038548962491,predictable across both
bpb_nld_Latn,bpb,nl,3,0.944759907136129,1.0,15,0.890091595402335,predictable across both
bpb_nob_Latn,bpb,no,2,0.9529991648232848,1.0,10,0.8977782162073713,predictable across both
bpb_pol_Latn,bpb,pl,3,0.935869368514242,1.0,15,0.880512621137507,predictable across both
bpb_por_Latn,bpb,pt,3,0.9449647423642158,1.0,15,0.868118040583896,predictable across both
bpb_ron_Latn,bpb,ro,2,0.9411593008549544,1.0,10,0.8918004889167908,predictable across both
bpb_rus_Cyrl,bpb,ru,5,0.9442969978328958,1.0,25,0.8765138328225894,predictable across both
bpb_spa_Latn,bpb,es,4,0.9425316369108516,1.0,20,0.8698693014504828,predictable across both
bpb_swe_Latn,bpb,sv,2,0.9489749558797129,1.0,10,0.8946435496083742,predictable across both
bpb_tha_Thai,bpb,th,2,0.952932940201155,1.0,10,0.9200511484607148,predictable across both
bpb_tur_Latn,bpb,tr,2,0.9575429716144918,1.0,10,0.9108820156739406,predictable across both
bpb_ukr_Cyrl,bpb,uk,2,0.9336045788403404,1.0,10,0.8903191124302402,predictable across both
bpb_vie_Latn,bpb,vi,3,0.9547220812539274,1.0,15,0.9007592749165565,predictable across both
hellaswag,hellaswag,en,6,0.9967012977022972,1.0,30,0.9891749722518215,predictable across both
hellaswag_ar,hellaswag,ar,3,0.95197391110442,1.0,15,0.9751454339669878,predictable across both
hellaswag_bn,hellaswag,bn,2,0.8278131956959744,1.0,10,0.5649467466642254,predictable across both
hellaswag_da,hellaswag,da,2,0.9497237957756486,1.0,10,0.9733942490313211,predictable across both
hellaswag_de,hellaswag,de,4,0.96974877125624,1.0,20,0.9869236403054942,predictable across both
hellaswag_es,hellaswag,es,4,0.9888804817715177,1.0,20,0.9883943806356692,predictable across both
hellaswag_fr,hellaswag,fr,4,0.9842645987953427,1.0,20,0.9874256776462089,predictable across both
hellaswag_hi,hellaswag,hi,2,0.8917800328382934,1.0,10,0.8469360364075808,predictable across both
hellaswag_hu,hellaswag,hu,2,0.9060038864828882,1.0,10,0.9350101875005075,predictable across both
hellaswag_id,hellaswag,id,3,0.965675574553232,1.0,15,0.9865319151350176,predictable across both
hellaswag_it,hellaswag,it,4,0.9731802713123345,1.0,20,0.9842258419349885,predictable across both
hellaswag_nl,hellaswag,nl,3,0.9510272935197768,1.0,15,0.9807545611022779,predictable across both
hellaswag_pt,hellaswag,pt,3,0.9715922438010882,1.0,15,0.9886655189300476,predictable across both
hellaswag_ro,hellaswag,ro,2,0.9366949901694523,1.0,10,0.9785947546872723,predictable across both
hellaswag_ru,hellaswag,ru,5,0.9877506244486132,1.0,25,0.986153615350032,predictable across both
hellaswag_sv,hellaswag,sv,2,0.9579651362329575,1.0,10,0.9856063813665055,predictable across both
hellaswag_uk,hellaswag,uk,2,0.9605751015991362,1.0,10,0.9775604367919614,predictable across both
hellaswag_vi,hellaswag,vi,3,0.9706947997305492,1.0,15,0.983724104419893,predictable across both
include_base_44_ukrainian,include_base_44,uk,2,0.5268946539713764,-0.2,8,0.15495513649857512,declines with size
lambada_openai_mt_de,lambada_openai_mt,de,4,0.9815379451910737,1.0,20,0.9397046164064391,predictable across both
lambada_openai_mt_en,lambada_openai_mt,en,6,0.9923507469000108,1.0,27,0.9576509654467295,predictable across both
lambada_openai_mt_es,lambada_openai_mt,es,4,0.9660168794128013,1.0,20,0.8869818240337511,predictable across both
lambada_openai_mt_fr,lambada_openai_mt,fr,4,0.9903206662864193,1.0,20,0.941205009889942,predictable across both
lambada_openai_mt_it,lambada_openai_mt,it,4,0.9912712087888301,1.0,20,0.9483706909327991,predictable across both
multiblimp_arb,multiblimp,ar,3,0.8385862598201925,1.0,15,0.7947582521985587,predictable across both
multiblimp_ben,multiblimp,bn,2,0.5785332291303169,0.6708203932499368,10,0.47625495151219777,predictable across size only
multiblimp_bul,multiblimp,bg,2,0.8591759855064471,0.95,10,0.8902753843836873,predictable across both
multiblimp_ces,multiblimp,cs,2,0.9305828991971423,1.0,10,0.9022286331859872,predictable across both
multiblimp_dan,multiblimp,da,2,0.5491546251123303,0.7216878364870322,9,0.1548527859523574,predictable across size only
multiblimp_deu,multiblimp,de,4,0.8417872579681935,0.8999999999999998,20,0.8421299923124177,predictable across both
multiblimp_ell,multiblimp,el,2,0.7848094911891709,0.95,10,0.8732539494651597,predictable across both
multiblimp_eng,multiblimp,en,6,0.9061879292647513,0.9873397172404482,30,0.5627826905298801,predictable across both
multiblimp_fas,multiblimp,fa,3,0.977526504283604,1.0,15,0.8930560067125984,predictable across both
multiblimp_fin,multiblimp,fi,2,0.8898920742895773,1.0,10,0.9158828302953279,predictable across both
multiblimp_fra,multiblimp,fr,4,0.8025282781180166,1.0,20,0.6293290662609654,predictable across both
multiblimp_hin,multiblimp,hi,2,0.8572471685746098,0.95,10,0.9145451799120033,predictable across both
multiblimp_hun,multiblimp,hu,2,0.8044249281797706,0.8999999999999999,10,0.885660972869404,predictable across both
multiblimp_ita,multiblimp,it,4,0.8540606351246054,1.0,20,0.8917075555870898,predictable across both
multiblimp_nld,multiblimp,nl,3,0.9537923331501336,1.0,15,0.7305378680442451,predictable across both
multiblimp_pol,multiblimp,pl,3,0.9256113231349196,1.0,15,0.888636426352984,predictable across both
multiblimp_por,multiblimp,pt,3,0.8883099107017672,1.0,15,0.8182001661879537,predictable across both
multiblimp_ron,multiblimp,ro,2,0.9399374720050476,1.0,10,0.9002013003182672,predictable across both
multiblimp_rus,multiblimp,ru,5,0.8560321788168935,1.0,25,0.8615652274173043,predictable across both
multiblimp_spa,multiblimp,es,4,0.9169214537048129,1.0,20,0.8416247328666364,predictable across both
multiblimp_tur,multiblimp,tr,2,0.9274425437987307,1.0,10,0.8443383822217352,predictable across both
multiblimp_ukr,multiblimp,uk,2,0.8968799814284092,1.0,10,0.8794916005802077,predictable across both
paws_en,paws,en,6,0.7886002107212121,1.0,23,0.5940173450601819,predictable across both
paws_es,paws,es,4,0.9724793042988011,1.0,12,0.39263432297212086,predictable across size only
rf_belebele_apc_Arab,rf_belebele,ar,3,0.5992450122462594,0.7,15,0.26778934979120306,predictable across size only
rf_belebele_arb_Arab,rf_belebele,ar,3,0.8764110961362322,1.0,15,0.48142547109517153,predictable across size only
rf_belebele_ars_Arab,rf_belebele,ar,3,0.8758824885012313,0.8999999999999998,15,0.5156824506471134,predictable across both
rf_belebele_ary_Arab,rf_belebele,ar,3,0.7108171140978485,0.8720815992723809,15,0.16507401659995768,predictable across size only
rf_belebele_arz_Arab,rf_belebele,ar,3,0.9447668138938486,1.0,15,0.4548821265313502,predictable across size only
rf_belebele_ben_Beng,rf_belebele,bn,2,0.3568119845290956,0.5,6,0.35926246655000316,weak / unpredictable in both
rf_belebele_ben_Latn,rf_belebele,bn,2,0.28021527461846474,0.43176156917368247,10,0.1761686967740942,weak / unpredictable in both
rf_belebele_bul_Cyrl,rf_belebele,bg,2,0.9096996924743936,1.0,10,0.6469858938551045,predictable across both
rf_belebele_ces_Latn,rf_belebele,cs,2,0.9353321660487854,1.0,8,0.8043286077581846,predictable across both
rf_belebele_dan_Latn,rf_belebele,da,2,0.978266936123665,1.0,10,0.6629725990050878,predictable across both
