task,family,language,label,r2_size,rho_size,r2_trajectory,regime,regime_majority,other_regime,dist_a,dist_b
include_v2_en_arabic_ksa,include_v2_en,ar,include_v2_en:arabic_ksa,0.5408629134803744,0.6668859288553501,0.31293288938861274,predictable across size only,predictable across both,True,0.5142019848756879,0.565942545874672
include_v2_en_arabic_morocco,include_v2_en,ar,include_v2_en:arabic_morocco,0.2610824410733241,0.0999999999999999,0.08936609754518987,weak / unpredictable in both,predictable across both,True,1.1228992992843,0.9221606953491053
include_v2_en_chinese_hong_kong,include_v2_en,zh,include_v2_en:zh,0.31522188892640113,0.5,0.24786010372709683,weak / unpredictable in both,predictable across both,True,0.7944340102600186,0.7780574626892134
include_v2_en_czech_czechia,include_v2_en,cs,include_v2_en:cs,0.7653754338648462,0.8,0.344892011504717,predictable across size only,predictable across both,True,0.26068340807252594,0.4119714233447942
include_v2_en_greek_cyprus,include_v2_en,el,include_v2_en:el,0.5440507940858524,0.7999999999999999,0.28481845687090607,predictable across size only,predictable across both,True,0.436979855324458,0.5844332295220835
include_v2_en_spanish_belice,include_v2_en,es,include_v2_en:spanish_belice,0.7976521080755505,0.9215552445252149,0.48941114636518696,predictable across size only,predictable across both,True,0.15607012172011353,0.2683785450994035
include_v2_en_spanish_jamaica,include_v2_en,es,include_v2_en:spanish_jamaica,0.7377743776830834,0.8360407996361905,0.35879308626048423,predictable across size only,predictable across both,True,0.25461749742118844,0.41162767047292825
include_v2_en_spanish_paraguay,include_v2_en,es,include_v2_en:spanish_paraguay,0.9054389390873946,1.0,0.3988225581678692,predictable across size only,predictable across both,True,0.027136492517604416,0.3237252458471927
include_v2_en_spanish_per_,include_v2_en,es,include_v2_en:spanish_per_,0.7735130297640984,0.7999999999999999,0.4166219343107702,predictable across size only,predictable across both,True,0.2555403053911382,0.34379595176943467
include_v2_en_spanish_puerto_rico,include_v2_en,es,include_v2_en:spanish_puerto_rico,0.4410098169227015,0.5999999999999999,0.33482301845748413,weak / unpredictable in both,predictable across both,True,0.6337481783310979,0.625367919703638
include_v2_en_spanish_rep_blica_dominicana,include_v2_en,es,include_v2_en:spanish_rep_blica_dominicana,0.4081660797206965,0.5581138830084189,0.18284685746553342,weak / unpredictable in both,predictable across both,True,0.6857612621996168,0.7517005635237561
include_v2_en_spanish_uruguay,include_v2_en,es,include_v2_en:spanish_uruguay,0.46015114163085447,0.5834429644276751,0.23866937359088913,weak / unpredictable in both,predictable across both,True,0.6298448012346992,0.6754418610344841
include_v2_en_spanish_venezuela,include_v2_en,es,include_v2_en:spanish_venezuela,0.7394020271607034,0.7743416490252568,0.3098069387134479,predictable across size only,predictable across both,True,0.2970482377480799,0.45467763626565144
include_v2_og_arabic_morocco,include_v2_og,ar,include_v2_og:arabic_morocco,0.0163723906403628,0.0,0.24942905380148828,weak / unpredictable in both,predictable across both,True,1.3583720772155106,1.0311265962790706
include_v2_og_arabic_qatar,include_v2_og,ar,include_v2_og:arabic_qatar,0.9682352171111402,1.0,0.36793541653079953,predictable across size only,predictable across both,True,0.03252899148003763,0.34996410626159974
include_v2_og_czech_czechia,include_v2_og,cs,include_v2_og:cs,0.3762352679978038,0.4538967528127731,0.4461606747013291,weak / unpredictable in both,predictable across both,True,0.7818161606308441,0.6213120392028553
