kind,size,percent,group,mean_da,tasks
checkpoint,1.7B,10,benchmarks,0.5184619906465486,490
checkpoint,1.7B,10,bpb,0.8951255993916711,51
checkpoint,1.7B,20,benchmarks,0.5420960440014904,490
checkpoint,1.7B,20,bpb,0.9547724825543074,51
checkpoint,1.7B,30,benchmarks,0.5644603966689643,490
checkpoint,1.7B,30,bpb,0.9676413555215231,51
checkpoint,1.7B,40,benchmarks,0.5700363399474095,490
checkpoint,1.7B,40,bpb,0.9784278302216747,51
checkpoint,1.7B,50,benchmarks,0.580599349892962,490
checkpoint,1.7B,50,bpb,0.9833110554837017,51
checkpoint,1.7B,60,benchmarks,0.5843193699829511,490
checkpoint,1.7B,60,bpb,0.9802937826521873,51
checkpoint,1.7B,70,benchmarks,0.6130975465181253,490
checkpoint,1.7B,70,bpb,0.986021175280873,51
checkpoint,1.7B,80,benchmarks,0.6313124958695818,490
checkpoint,1.7B,80,bpb,0.9832944856528902,51
checkpoint,1.7B,90,benchmarks,0.7180755899113769,490
checkpoint,1.7B,90,bpb,0.9939250103518906,51
checkpoint,175M,10,benchmarks,0.47985501728251456,490
checkpoint,175M,10,bpb,0.6329815173434772,51
checkpoint,175M,20,benchmarks,0.4953345087039434,490
checkpoint,175M,20,bpb,0.7645080000507458,51
checkpoint,175M,30,benchmarks,0.5555352657152416,490
checkpoint,175M,30,bpb,0.867916807551823,51
checkpoint,175M,40,benchmarks,0.6161777959255234,490
checkpoint,175M,40,bpb,0.9460326617308794,51
checkpoint,175M,50,benchmarks,0.6506971832503876,490
checkpoint,175M,50,bpb,0.9432403501453251,51
checkpoint,175M,60,benchmarks,0.690752765450379,490
checkpoint,175M,60,bpb,0.9223967264852349,51
checkpoint,175M,70,benchmarks,0.7385000488215275,490
checkpoint,175M,70,bpb,0.9596574108645245,51
checkpoint,175M,80,benchmarks,0.7607694857536419,490
checkpoint,175M,80,bpb,0.9734896708046447,51
checkpoint,175M,90,benchmarks,0.8057886184022245,490
checkpoint,175M,90,bpb,0.9953420230577318,51
checkpoint,1B,10,benchmarks,0.5120646911187566,490
checkpoint,1B,10,bpb,0.7761144524274706,51
checkpoint,1B,20,benchmarks,0.5226533044127701,490
checkpoint,1B,20,bpb,0.819760154372722,51
checkpoint,1B,30,benchmarks,0.5567191940575894,490
checkpoint,1B,30,bpb,0.8663841571033577,51
checkpoint,1B,40,benchmarks,0.5577559817086384,490
checkpoint,1B,40,bpb,0.9200025105257382,51
checkpoint,1B,50,benchmarks,0.5719533260069314,490
checkpoint,1B,50,bpb,0.9338766311357826,51
checkpoint,1B,60,benchmarks,0.5882361702932838,490
checkpoint,1B,60,bpb,0.9768826391782534,51
checkpoint,1B,70,benchmarks,0.6187989807672876,490
checkpoint,1B,70,bpb,0.9523084363162594,51
checkpoint,1B,80,benchmarks,0.6455156388755618,490
checkpoint,1B,80,bpb,0.9634747925405366,51
checkpoint,1B,90,benchmarks,0.7211542086939042,490
checkpoint,1B,90,bpb,0.9916748781198909,51
checkpoint,350M,10,benchmarks,0.487720968325851,490
checkpoint,350M,10,bpb,0.8690863933464473,51
checkpoint,350M,20,benchmarks,0.5155077089064963,490
checkpoint,350M,20,bpb,0.909849969663459,51
checkpoint,350M,30,benchmarks,0.5370658339003641,490
checkpoint,350M,30,bpb,0.9149693600842913,51
checkpoint,350M,40,benchmarks,0.5665783440452004,490
checkpoint,350M,40,bpb,0.9228055146965934,51
checkpoint,350M,50,benchmarks,0.5982680719240285,490
checkpoint,350M,50,bpb,0.966058683428609,51
checkpoint,350M,60,benchmarks,0.623066883139585,490
checkpoint,350M,60,bpb,0.9630362456417741,51
checkpoint,350M,70,benchmarks,0.6736832805072962,490
checkpoint,350M,70,bpb,0.9458586753945563,51
checkpoint,350M,80,benchmarks,0.7291855854076578,490
checkpoint,350M,80,bpb,0.9640493892825772,51
checkpoint,350M,90,benchmarks,0.8063217365851417,490
checkpoint,350M,90,bpb,0.9892599010960678,51
checkpoint,600M,10,benchmarks,0.4905889879663851,490
checkpoint,600M,10,bpb,0.9415703469362422,51
checkpoint,600M,20,benchmarks,0.5291965501184955,490
checkpoint,600M,20,bpb,0.9670892899820869,51
checkpoint,600M,30,benchmarks,0.5356124813694432,490
checkpoint,600M,30,bpb,0.9762262685985695,51
checkpoint,600M,40,benchmarks,0.5615158353530247,490
checkpoint,600M,40,bpb,0.9857232561644129,51
checkpoint,600M,50,benchmarks,0.5812053983484133,490
checkpoint,600M,50,bpb,0.9872840704751421,51
checkpoint,600M,60,benchmarks,0.6019775307081329,490
checkpoint,600M,60,bpb,0.9821945428119168,51
checkpoint,600M,70,benchmarks,0.6201014208242294,490
checkpoint,600M,70,bpb,0.9878735913486455,51
checkpoint,600M,80,benchmarks,0.6515931361392475,490
checkpoint,600M,80,bpb,0.9861013842129186,51
checkpoint,600M,90,benchmarks,0.7524954983086726,490
checkpoint,600M,90,bpb,0.9959576186330638,51
reference,1.7B,10,benchmarks,0.5184619906465486,490
reference,1.7B,10,bpb,0.8951255993916711,51
reference,1.7B,20,benchmarks,0.5420960440014904,490
reference,1.7B,20,bpb,0.9547724825543074,51
reference,1.7B,30,benchmarks,0.5644603966689643,490
reference,1.7B,30,bpb,0.9676413555215231,51
reference,1.7B,40,benchmarks,0.5700363399474095,490
reference,1.7B,40,bpb,0.9784278302216747,51
reference,1.7B,50,benchmarks,0.580599349892962,490
reference,1.7B,50,bpb,0.9833110554837017,51
reference,1.7B,60,benchmarks,0.5843193699829511,490
