task,size,percent,kind,da,n_pairs,passes_gate
arc_ar,1.7B,10,checkpoint,0.6071428571428571,28,False
arc_ar,1.7B,10,reference,0.6071428571428571,28,False
arc_ar,1.7B,20,checkpoint,0.4285714285714285,28,False
arc_ar,1.7B,20,reference,0.4285714285714285,28,False
arc_ar,1.7B,30,checkpoint,0.3571428571428571,28,False
arc_ar,1.7B,30,reference,0.3571428571428571,28,False
arc_ar,1.7B,40,checkpoint,0.3571428571428571,28,False
arc_ar,1.7B,40,reference,0.3571428571428571,28,False
arc_ar,1.7B,50,checkpoint,0.2142857142857142,28,False
arc_ar,1.7B,50,reference,0.2142857142857142,28,False
arc_ar,1.7B,60,checkpoint,0.5714285714285714,28,False
arc_ar,1.7B,60,reference,0.5714285714285714,28,False
arc_ar,1.7B,70,checkpoint,0.7142857142857143,28,False
arc_ar,1.7B,70,reference,0.7142857142857143,28,False
arc_ar,1.7B,80,checkpoint,0.6785714285714286,28,False
arc_ar,1.7B,80,reference,0.6785714285714286,28,False
arc_ar,1.7B,90,checkpoint,0.3214285714285714,28,False
arc_ar,1.7B,90,reference,0.3214285714285714,28,False
arc_ar,175M,10,checkpoint,0.4761904761904761,21,False
arc_ar,175M,10,reference,0.5238095238095238,21,False
arc_ar,175M,20,checkpoint,0.5238095238095238,21,False
arc_ar,175M,20,reference,0.6190476190476191,21,False
arc_ar,175M,30,checkpoint,0.6190476190476191,21,False
arc_ar,175M,30,reference,0.1904761904761904,21,False
arc_ar,175M,40,checkpoint,0.7142857142857143,21,False
arc_ar,175M,40,reference,0.4761904761904761,21,False
arc_ar,175M,50,checkpoint,0.7619047619047619,21,False
arc_ar,175M,50,reference,0.4285714285714285,21,False
arc_ar,175M,60,checkpoint,0.7333333333333333,15,False
arc_ar,175M,60,reference,0.5333333333333333,15,False
arc_ar,175M,70,checkpoint,0.8095238095238095,21,False
arc_ar,175M,70,reference,0.4285714285714285,21,False
arc_ar,175M,80,checkpoint,0.8095238095238095,21,False
arc_ar,175M,80,reference,0.3809523809523809,21,False
arc_ar,175M,90,checkpoint,0.8571428571428571,21,False
arc_ar,175M,90,reference,0.3809523809523809,21,False
arc_ar,175M,100,checkpoint,,0,False
arc_ar,175M,100,reference,0.3809523809523809,21,False
arc_ar,1B,10,checkpoint,0.7142857142857143,28,False
arc_ar,1B,10,reference,0.4285714285714285,28,False
arc_ar,1B,20,checkpoint,0.3928571428571428,28,False
arc_ar,1B,20,reference,0.6428571428571429,28,False
arc_ar,1B,30,checkpoint,0.5357142857142857,28,False
arc_ar,1B,30,reference,0.3571428571428571,28,False
arc_ar,1B,40,checkpoint,0.7142857142857143,28,False
arc_ar,1B,40,reference,0.3571428571428571,28,False
arc_ar,1B,50,checkpoint,0.5,28,False
arc_ar,1B,50,reference,0.5714285714285714,28,False
arc_ar,1B,60,checkpoint,0.6428571428571429,28,False
arc_ar,1B,60,reference,0.5357142857142857,28,False
arc_ar,1B,70,checkpoint,0.4285714285714285,28,False
arc_ar,1B,70,reference,0.1785714285714285,28,False
arc_ar,1B,80,checkpoint,0.5714285714285714,28,False
arc_ar,1B,80,reference,0.5357142857142857,28,False
arc_ar,1B,90,checkpoint,0.5357142857142857,28,False
arc_ar,1B,90,reference,0.2857142857142857,28,False
arc_ar,1B,100,checkpoint,,0,False
arc_ar,1B,100,reference,0.4285714285714285,28,False
arc_ar,350M,10,checkpoint,0.5714285714285714,21,False
arc_ar,350M,10,reference,0.4285714285714285,21,False
arc_ar,350M,20,checkpoint,0.5714285714285714,21,False
arc_ar,350M,20,reference,0.5238095238095238,21,False
arc_ar,350M,30,checkpoint,0.6666666666666666,21,False
arc_ar,350M,30,reference,0.4285714285714285,21,False
arc_ar,350M,40,checkpoint,0.6666666666666666,21,False
arc_ar,350M,40,reference,0.5238095238095238,21,False
arc_ar,350M,50,checkpoint,0.5714285714285714,21,False
arc_ar,350M,50,reference,0.5714285714285714,21,False
arc_ar,350M,60,checkpoint,0.5238095238095238,21,False
arc_ar,350M,60,reference,0.6190476190476191,21,False
arc_ar,350M,70,checkpoint,0.7142857142857143,21,False
arc_ar,350M,70,reference,0.8095238095238095,21,False
arc_ar,350M,80,checkpoint,0.9047619047619048,21,False
arc_ar,350M,80,reference,0.6666666666666666,21,False
