language,kind,variant,pearson_r,n
ar,checkpoint,aad,0.2549163966933373,33
ar,checkpoint,discrepancy,0.14608005724969442,32
ar,checkpoint,dispersion,0.2653618598170986,33
ar,checkpoint,dispersion_shifted,0.22890908184537148,33
ar,checkpoint,dist_std,0.2554588813017406,33
ar,checkpoint,gini,0.21866743594688492,33
ar,checkpoint,iqr,0.07915708670829794,33
ar,checkpoint,mad,0.19871417767116967,33
ar,checkpoint,mpd,0.2644831447773611,33
ar,checkpoint,mpsd,0.06873458951826412,33
ar,checkpoint,projection,0.012239248059467746,33
ar,checkpoint,quartile_deviation,0.20510557333180024,33
ar,checkpoint,range,0.2653618598170986,33
ar,checkpoint,rel_dispersion,0.16703776475490228,33
ar,checkpoint,rel_mpd,0.1580125693504996,33
ar,checkpoint,rel_mpsd,0.01272590314772616,33
ar,checkpoint,rel_star_discrepancy,0.14730346340644115,32
ar,checkpoint,rel_std,0.1628617476645999,33
ar,checkpoint,rms_deviation,0.2621298749530422,33
ar,checkpoint,star_discrepancy,0.15476326875758797,32
ar,checkpoint,star_discrepancy_shifted,0.14766277685774964,32
ar,checkpoint,tukey,-0.041427238199292254,33
ar,size,aad,-0.03246896861969562,33
ar,size,discrepancy,0.14139683864134364,32
ar,size,dispersion,0.04325074495309947,33
ar,size,dispersion_shifted,0.1913834366352362,33
ar,size,dist_std,0.022740579842351342,33
ar,size,gini,0.18651303539242478,33
ar,size,iqr,-0.3503276789199199,33
ar,size,mad,-0.12285326189268445,33
ar,size,mpd,0.0045708824345082845,33
ar,size,mpsd,-0.11791147542191822,33
ar,size,projection,-0.01385782399937879,33
ar,size,quartile_deviation,-0.16571677471468907,33
ar,size,range,0.04325074495309947,33
ar,size,rel_dispersion,-0.13699051625307113,33
ar,size,rel_mpd,-0.19145130301645927,33
ar,size,rel_mpsd,-0.20098930613359026,33
ar,size,rel_star_discrepancy,0.09401513027198741,32
ar,size,rel_std,-0.18477647411623202,33
ar,size,rms_deviation,0.01033436757067377,33
ar,size,star_discrepancy,0.12610213380648205,32
ar,size,star_discrepancy_shifted,0.13487790332875885,32
ar,size,tukey,-0.061957753227400214,33
bg,checkpoint,aad,0.22642362871073302,33
bg,checkpoint,discrepancy,0.3257118578313404,32
bg,checkpoint,dispersion,0.2316054400851177,33
bg,checkpoint,dispersion_shifted,0.3632108298646338,33
bg,checkpoint,dist_std,0.2226447987905695,33
bg,checkpoint,gini,0.3668631773446991,33
bg,checkpoint,iqr,0.09160892343152817,33
bg,checkpoint,mad,0.22810250991890194,33
bg,checkpoint,mpd,0.2331806983356055,33
bg,checkpoint,mpsd,0.1399623576388598,33
bg,checkpoint,projection,-0.17289532643914815,33
bg,checkpoint,quartile_deviation,0.23244272532633334,33
bg,checkpoint,range,0.2316054400851177,33
bg,checkpoint,rel_dispersion,0.07434677427770081,33
bg,checkpoint,rel_mpd,0.07797229242441335,33
bg,checkpoint,rel_mpsd,0.040312118694769306,33
bg,checkpoint,rel_star_discrepancy,0.19214802480454612,32
bg,checkpoint,rel_std,0.07752818096519633,33
bg,checkpoint,rms_deviation,0.22964940367899703,33
bg,checkpoint,star_discrepancy,0.32590562492536634,32
bg,checkpoint,star_discrepancy_shifted,0.25600802849314036,32
bg,checkpoint,tukey,-0.048268286576949,33
bg,size,aad,0.19622181337759967,33
bg,size,discrepancy,0.39154212173781683,32
bg,size,dispersion,0.20006638325360535,33
bg,size,dispersion_shifted,0.41462638084356657,33
bg,size,dist_std,0.1955185604012689,33
bg,size,gini,0.31562629156401867,33
bg,size,iqr,0.008571718490620137,33
bg,size,mad,0.07087622145585305,33
bg,size,mpd,0.19229898703739332,33
bg,size,mpsd,0.0779631792532631,33
bg,size,projection,0.0194795217273752,33
bg,size,quartile_deviation,0.1564179766826389,33
bg,size,range,0.20006638325360535,33
bg,size,rel_dispersion,0.04368041309607861,33
bg,size,rel_mpd,0.03640404962611046,33
bg,size,rel_mpsd,-0.022280794846573297,33
bg,size,rel_star_discrepancy,0.23323294488293717,32
bg,size,rel_std,0.04433503977871207,33
bg,size,rms_deviation,0.19623293196681038,33
bg,size,star_discrepancy,0.41916184855736893,32
bg,size,star_discrepancy_shifted,0.3124480139047236,32
bg,size,tukey,-0.022162065936355148,33
bn,checkpoint,aad,0.1561369735586616,33
bn,checkpoint,discrepancy,0.14391274759110995,32
bn,checkpoint,dispersion,0.15905009408941334,33
bn,checkpoint,dispersion_shifted,0.15464136666186454,33
bn,checkpoint,dist_std,0.19215354036638232,33
bn,checkpoint,gini,0.11166894167413556,33
bn,checkpoint,iqr,0.06709829257881371,33
bn,checkpoint,mad,-0.11246869905033144,33
bn,checkpoint,mpd,0.14862406993064772,33
bn,checkpoint,mpsd,0.06004090935474816,33
bn,checkpoint,projection,-0.10452754117337194,33
bn,checkpoint,quartile_deviation,0.04928471845103778,33
bn,checkpoint,range,0.15905009408941334,33
bn,checkpoint,rel_dispersion,0.20535558190356495,33
bn,checkpoint,rel_mpd,0.19708728448739968,33
bn,checkpoint,rel_mpsd,0.07631751185855674,33
bn,checkpoint,rel_star_discrepancy,0.2634792496474019,32
bn,checkpoint,rel_std,0.2261726327766612,33
bn,checkpoint,rms_deviation,0.16552116112974744,33
bn,checkpoint,star_discrepancy,0.20101978099447168,32
bn,checkpoint,star_discrepancy_shifted,0.1683064802811292,32
bn,checkpoint,tukey,-0.21992043350283635,33
bn,size,aad,-0.044588708230447756,33
bn,size,discrepancy,0.1605659034553031,32
bn,size,dispersion,-0.08771273641826588,33
bn,size,dispersion_shifted,0.24926853196464446,33
bn,size,dist_std,-0.032236931181955156,33
bn,size,gini,0.3260319390903007,33
bn,size,iqr,0.012244503203440229,33
bn,size,mad,-0.1878077021424224,33
bn,size,mpd,-0.07256823213898805,33
bn,size,mpsd,-0.16214623488617816,33
bn,size,projection,-0.025453098770157317,33
bn,size,quartile_deviation,-0.07385665268369626,33
bn,size,range,-0.08771273641826588,33
bn,size,rel_dispersion,0.01800469553841197,33
bn,size,rel_mpd,0.03591575372946935,33
bn,size,rel_mpsd,-0.14302975477312246,33
bn,size,rel_star_discrepancy,0.3933968470119354,32
bn,size,rel_std,0.06420384293362057,33
bn,size,rms_deviation,-0.05535035958268188,33
bn,size,star_discrepancy,0.2543628267466436,32
bn,size,star_discrepancy_shifted,0.30099301256975447,32
bn,size,tukey,-0.08119598722960979,33
cs,checkpoint,aad,0.458394957362389,33
cs,checkpoint,discrepancy,0.12883722543162104,32
cs,checkpoint,dispersion,0.4764792861045722,33
cs,checkpoint,dispersion_shifted,0.20417399517983018,33
cs,checkpoint,dist_std,0.4938786218112755,33
cs,checkpoint,gini,0.16706282201921988,33
cs,checkpoint,iqr,0.08242803873685575,33
cs,checkpoint,mad,0.3600835900854593,33
cs,checkpoint,mpd,0.4657528579163606,33
cs,checkpoint,mpsd,0.4736670662415835,33
cs,checkpoint,projection,-0.49206669474584974,33
cs,checkpoint,quartile_deviation,0.37859655472065734,33
cs,checkpoint,range,0.4764792861045722,33
cs,checkpoint,rel_dispersion,0.1377781878851507,33
cs,checkpoint,rel_mpd,0.13068676526978978,33
cs,checkpoint,rel_mpsd,0.30856565877381537,33
cs,checkpoint,rel_star_discrepancy,-0.13521114748171617,32
cs,checkpoint,rel_std,0.1429048688019444,33
cs,checkpoint,rms_deviation,0.47539068672140533,33
cs,checkpoint,star_discrepancy,0.0923548323004604,32
cs,checkpoint,star_discrepancy_shifted,0.11649630949289193,32
cs,checkpoint,tukey,-0.552009451376768,33
cs,size,aad,0.6257773883819073,33
cs,size,discrepancy,0.17547173654058168,32
cs,size,dispersion,0.6557698302083933,33
cs,size,dispersion_shifted,0.2615313446213581,33
cs,size,dist_std,0.6505884171174358,33
cs,size,gini,0.26633967722233254,33
cs,size,iqr,0.11182985435030297,33
cs,size,mad,0.5012017296673361,33
cs,size,mpd,0.6356210707443831,33
cs,size,mpsd,0.6457537838888872,33
cs,size,projection,-0.6413836594352451,33
cs,size,quartile_deviation,0.51371640178994,33
cs,size,range,0.6557698302083933,33
cs,size,rel_dispersion,0.2003223786552581,33
cs,size,rel_mpd,0.18256310717623603,33
cs,size,rel_mpsd,0.4224547644200088,33
cs,size,rel_star_discrepancy,-0.34497753881825416,32
cs,size,rel_std,0.18936008662169665,33
cs,size,rms_deviation,0.641777292326441,33
cs,size,star_discrepancy,0.08076518372087182,32
cs,size,star_discrepancy_shifted,0.029112709115450212,32
cs,size,tukey,-0.7048256066290952,33
da,checkpoint,aad,-0.11500301196334729,33
da,checkpoint,discrepancy,-0.050779574269340426,32
da,checkpoint,dispersion,-0.11438002147709775,33
da,checkpoint,dispersion_shifted,-0.10362094487153253,33
da,checkpoint,dist_std,-0.12114110765927234,33
da,checkpoint,gini,-0.10058114455399,33
da,checkpoint,iqr,-0.13853769640423214,33
da,checkpoint,mad,0.1910036920143671,33
da,checkpoint,mpd,-0.11488291300726505,33
da,checkpoint,mpsd,-0.1275059903597592,33
da,checkpoint,projection,-0.19966338624163435,33
da,checkpoint,quartile_deviation,-0.11373822929019592,33
da,checkpoint,range,-0.11438002147709775,33
da,checkpoint,rel_dispersion,-0.1386509747899697,33
da,checkpoint,rel_mpd,-0.13926633853140524,33
da,checkpoint,rel_mpsd,-0.15202534696757608,33
da,checkpoint,rel_star_discrepancy,-0.008665557770977937,32
da,checkpoint,rel_std,-0.14011974036279592,33
da,checkpoint,rms_deviation,-0.11654360350818763,33
da,checkpoint,star_discrepancy,-0.03389749656954864,32
da,checkpoint,star_discrepancy_shifted,-0.0684105051320145,32
da,checkpoint,tukey,-0.21110430713924208,33
da,size,aad,-0.26455066651219183,33
da,size,discrepancy,-0.26986237574458866,32
da,size,dispersion,-0.2705056674759042,33
da,size,dispersion_shifted,-0.26092469372021276,33
da,size,dist_std,-0.27433817186066956,33
da,size,gini,-0.2423344093304622,33
da,size,iqr,-0.26407192855264755,33
da,size,mad,0.3990771619595966,33
da,size,mpd,-0.26695790542085107,33
da,size,mpsd,-0.27308355595092176,33
da,size,projection,-0.08611696036962295,33
da,size,quartile_deviation,-0.24808539505990507,33
da,size,range,-0.2705056674759042,33
da,size,rel_dispersion,-0.28648554673481785,33
da,size,rel_mpd,-0.2829645072854477,33
da,size,rel_mpsd,-0.2896584929491971,33
da,size,rel_star_discrepancy,-0.2621317248821916,32
da,size,rel_std,-0.28445277668395813,33
da,size,rms_deviation,-0.26898256865227954,33
da,size,star_discrepancy,-0.26508721486645703,32
da,size,star_discrepancy_shifted,-0.2555113934527875,32
da,size,tukey,-0.30060622030942985,33
de,checkpoint,aad,0.3882700679307086,33
de,checkpoint,discrepancy,0.34880612391708327,32
de,checkpoint,dispersion,0.3394751539044159,33
de,checkpoint,dispersion_shifted,0.3231059887317779,33
de,checkpoint,dist_std,0.36591366760727134,33
de,checkpoint,gini,0.33645145894189493,33
de,checkpoint,iqr,0.23592955562316348,33
de,checkpoint,mad,0.384287216134953,33
de,checkpoint,mpd,0.36938887480438726,33
de,checkpoint,mpsd,0.24648420069843688,33
de,checkpoint,projection,-0.14396028320689858,33
de,checkpoint,quartile_deviation,0.3852167459298952,33
de,checkpoint,range,0.3394751539044159,33
de,checkpoint,rel_dispersion,0.14671570513775917,33
de,checkpoint,rel_mpd,0.19493896318191728,33
de,checkpoint,rel_mpsd,0.10768394930205392,33
de,checkpoint,rel_star_discrepancy,0.335224199602852,32
de,checkpoint,rel_std,0.20163486221489232,33
de,checkpoint,rms_deviation,0.368463334361957,33
de,checkpoint,star_discrepancy,0.33757662472649447,32
de,checkpoint,star_discrepancy_shifted,0.2217152229912205,32
de,checkpoint,tukey,-0.08464283694836504,33
de,size,aad,0.11143360625564032,33
de,size,discrepancy,-0.06733930281538798,32
de,size,dispersion,0.07891290098730597,33
de,size,dispersion_shifted,0.03048465938467936,33
de,size,dist_std,0.09879365708981463,33
de,size,gini,0.0534404038648683,33
de,size,iqr,-0.1387289025809366,33
de,size,mad,0.06565776697288746,33
de,size,mpd,0.09248363917693125,33
de,size,mpsd,0.10389620573160584,33
de,size,projection,-0.37538639801616924,33
de,size,quartile_deviation,0.10076100929657122,33
de,size,range,0.07891290098730597,33
de,size,rel_dispersion,-0.1870242378390608,33
de,size,rel_mpd,-0.1707240105805151,33
de,size,rel_mpsd,-0.04306534911818163,33
de,size,rel_star_discrepancy,-0.06208644021507594,32
de,size,rel_std,-0.16378018428867389,33
de,size,rms_deviation,0.09463170603802089,33
de,size,star_discrepancy,-0.059587187451947014,32
de,size,star_discrepancy_shifted,-0.08223532319041785,32
de,size,tukey,-0.2558063853619291,33
el,checkpoint,aad,0.17525540137266438,33
el,checkpoint,discrepancy,0.14853122547123562,32
el,checkpoint,dispersion,0.15037844490145932,33
el,checkpoint,dispersion_shifted,0.20032720725716185,33
el,checkpoint,dist_std,0.13820116407221886,33
el,checkpoint,gini,0.2004240434585838,33
el,checkpoint,iqr,0.12288367269386874,33
el,checkpoint,mad,0.26061926697213056,33
el,checkpoint,mpd,0.16346672253470798,33
el,checkpoint,mpsd,0.021956732412983553,33
el,checkpoint,projection,-0.07942154734007681,33
el,checkpoint,quartile_deviation,0.20494307317009222,33
el,checkpoint,range,0.15037844490145932,33
el,checkpoint,rel_dispersion,0.03453037708973059,33
el,checkpoint,rel_mpd,0.04521118883299265,33
el,checkpoint,rel_mpsd,-0.05592960552479282,33
el,checkpoint,rel_star_discrepancy,0.20237177849283444,32
el,checkpoint,rel_std,0.04326849929592904,33
el,checkpoint,rms_deviation,0.15506229358483728,33
el,checkpoint,star_discrepancy,0.17111772299018171,32
el,checkpoint,star_discrepancy_shifted,0.18526837439344696,32
el,checkpoint,tukey,-0.11671588866024792,33
el,size,aad,0.21915430381987794,33
el,size,discrepancy,0.22328054118095475,32
el,size,dispersion,0.1716677120345548,33
el,size,dispersion_shifted,0.24113814226198918,33
el,size,dist_std,0.13469314219049933,33
el,size,gini,0.21061877750089344,33
el,size,iqr,0.1997970753575754,33
el,size,mad,0.4227754460604254,33
el,size,mpd,0.20379907902919137,33
el,size,mpsd,0.0197001740118031,33
el,size,projection,-0.08793111442961506,33
el,size,quartile_deviation,0.30580617557158307,33
el,size,range,0.1716677120345548,33
el,size,rel_dispersion,-0.005980429415265516,33
el,size,rel_mpd,0.022300310623704356,33
el,size,rel_mpsd,-0.0924812684057728,33
el,size,rel_star_discrepancy,0.2058319155378343,32
el,size,rel_std,-0.0034004648255588636,33
el,size,rms_deviation,0.18034246316665456,33
el,size,star_discrepancy,0.2391155505943699,32
el,size,star_discrepancy_shifted,0.06969420384881071,32
el,size,tukey,-0.0844598059392676,33
en,checkpoint,aad,0.29847757030043476,33
en,checkpoint,discrepancy,0.3583845071333813,32
en,checkpoint,dispersion,0.3341415898934121,33
en,checkpoint,dispersion_shifted,0.4352349654985383,33
en,checkpoint,dist_std,0.35312162937144104,33
en,checkpoint,gini,0.4227086279622417,33
en,checkpoint,iqr,0.062319643785128984,33
en,checkpoint,mad,0.09058639348624975,33
en,checkpoint,mpd,0.2990107842961764,33
en,checkpoint,mpsd,0.0008625135309574563,33
en,checkpoint,projection,0.12850724577900782,33
en,checkpoint,quartile_deviation,0.11964614640437708,33
en,checkpoint,range,0.3341415898934121,33
en,checkpoint,rel_dispersion,0.36691347359201293,33
en,checkpoint,rel_mpd,0.3275610762264585,33
en,checkpoint,rel_mpsd,-0.051655760224122875,33
en,checkpoint,rel_star_discrepancy,0.3695885374297879,32
en,checkpoint,rel_std,0.3720415468578645,33
en,checkpoint,rms_deviation,0.3300864140763304,33
en,checkpoint,star_discrepancy,0.382464489177615,32
en,checkpoint,star_discrepancy_shifted,0.39545826835960146,32
en,checkpoint,tukey,0.15400990781443974,33
en,size,aad,0.23366183110752034,33
en,size,discrepancy,0.4165250203895932,32
en,size,dispersion,0.2942199422140827,33
en,size,dispersion_shifted,0.48530186909538775,33
en,size,dist_std,0.3079766336217836,33
en,size,gini,0.47662744760844633,33
en,size,iqr,-0.03644767892486782,33
en,size,mad,-0.004519674057342632,33
en,size,mpd,0.2412129444021208,33
en,size,mpsd,-0.1068261414288845,33
en,size,projection,0.27095341980374277,33
en,size,quartile_deviation,0.019675271925860223,33
en,size,range,0.2942199422140827,33
en,size,rel_dispersion,0.3430156146839736,33
en,size,rel_mpd,0.27748464636263515,33
en,size,rel_mpsd,-0.16516688657590226,33
en,size,rel_star_discrepancy,0.44125638829838726,32
en,size,rel_std,0.32852308985544315,33
en,size,rms_deviation,0.277664323915189,33
en,size,star_discrepancy,0.4400807699800916,32
en,size,star_discrepancy_shifted,0.4425573248694854,32
en,size,tukey,0.1799099383202237,33
es,checkpoint,aad,0.2123345037558553,33
es,checkpoint,discrepancy,0.3228815851935792,32
es,checkpoint,dispersion,0.1888608579458533,33
es,checkpoint,dispersion_shifted,0.35827590856222036,33
es,checkpoint,dist_std,0.15926083855694706,33
es,checkpoint,gini,0.3560864493913709,33
es,checkpoint,iqr,0.2675001136588458,33
es,checkpoint,mad,0.1881359128175106,33
es,checkpoint,mpd,0.2108062672059173,33
es,checkpoint,mpsd,-0.11269139331984944,33
es,checkpoint,projection,0.12976307707298934,33
es,checkpoint,quartile_deviation,0.2212728461483013,33
es,checkpoint,range,0.1888608579458533,33
es,checkpoint,rel_dispersion,0.22745843949020703,33
es,checkpoint,rel_mpd,0.2614968475805537,33
es,checkpoint,rel_mpsd,-0.12213328461990536,33
es,checkpoint,rel_star_discrepancy,0.3486953992429495,32
es,checkpoint,rel_std,0.2463786011741821,33
es,checkpoint,rms_deviation,0.19350217363589853,33
es,checkpoint,star_discrepancy,0.32890084730793123,32
es,checkpoint,star_discrepancy_shifted,0.24803530162025964,32
es,checkpoint,tukey,0.22081745263844074,33
es,size,aad,0.08925906189456287,33
es,size,discrepancy,0.5080210098358134,32
es,size,dispersion,0.08823507423973498,33
es,size,dispersion_shifted,0.5335331727629213,33
es,size,dist_std,0.03203595524432838,33
es,size,gini,0.5121314228829944,33
es,size,iqr,0.0782918795979884,33
es,size,mad,0.045544847877081795,33
es,size,mpd,0.09417662671015642,33
es,size,mpsd,-0.3496696620346734,33
es,size,projection,0.18615644867392694,33
es,size,quartile_deviation,0.06439666402074279,33
es,size,range,0.08823507423973498,33
es,size,rel_dispersion,0.1142133418744715,33
es,size,rel_mpd,0.12513360158671663,33
es,size,rel_mpsd,-0.37968420090133975,33
es,size,rel_star_discrepancy,0.517160520876882,32
es,size,rel_std,0.10092037632967597,33
es,size,rms_deviation,0.0717824397013873,33
es,size,star_discrepancy,0.5161588478501535,32
es,size,star_discrepancy_shifted,0.397307496628314,32
es,size,tukey,0.3395511263931798,33
fa,checkpoint,aad,0.4704871544332012,33
fa,checkpoint,discrepancy,0.283253823828615,32
fa,checkpoint,dispersion,0.35149579386550645,33
fa,checkpoint,dispersion_shifted,0.19352594508357485,33
fa,checkpoint,dist_std,0.4306673728273404,33
fa,checkpoint,gini,0.29961304299164776,33
fa,checkpoint,iqr,0.354873420381067,33
fa,checkpoint,mad,0.4195306609745931,33
fa,checkpoint,mpd,0.4301377963554047,33
fa,checkpoint,mpsd,0.4188633911184859,33
fa,checkpoint,projection,-0.4505865215260651,33
fa,checkpoint,quartile_deviation,0.5314176742650255,33
fa,checkpoint,range,0.35149579386550645,33
fa,checkpoint,rel_dispersion,-0.014521400318292401,33
fa,checkpoint,rel_mpd,0.11513948518206414,33
fa,checkpoint,rel_mpsd,0.29102446484657685,33
fa,checkpoint,rel_star_discrepancy,-0.0850881536888748,32
fa,checkpoint,rel_std,0.12157604873430553,33
fa,checkpoint,rms_deviation,0.4303481758847167,33
fa,checkpoint,star_discrepancy,0.24588216400257734,32
fa,checkpoint,star_discrepancy_shifted,0.3210825645170457,32
fa,checkpoint,tukey,-0.48757204978400304,33
fa,size,aad,0.3364072406809831,33
fa,size,discrepancy,0.7054316921427034,32
fa,size,dispersion,0.1839247702414942,33
fa,size,dispersion_shifted,0.29646765937778286,33
fa,size,dist_std,0.2812223208778209,33
fa,size,gini,0.41748368709839323,33
fa,size,iqr,0.25754419875261697,33
fa,size,mad,0.2430337887876526,33
fa,size,mpd,0.27729374234205945,33
fa,size,mpsd,0.1976478700779633,33
fa,size,projection,-0.37287137176650825,33
fa,size,quartile_deviation,0.41647134028871163,33
fa,size,range,0.1839247702414942,33
fa,size,rel_dispersion,-0.17089530070271725,33
fa,size,rel_mpd,-0.030284250504818727,33
fa,size,rel_mpsd,0.03452120776189854,33
fa,size,rel_star_discrepancy,0.541064291659365,32
fa,size,rel_std,-0.019392082987891367,33
fa,size,rms_deviation,0.27848692810831044,33
fa,size,star_discrepancy,0.6676118907100946,32
fa,size,star_discrepancy_shifted,0.7212800534487641,32
fa,size,tukey,-0.3398804792973473,33
fi,checkpoint,aad,0.34376448469551674,33
fi,checkpoint,discrepancy,0.241464599799923,32
fi,checkpoint,dispersion,0.3487547814613487,33
fi,checkpoint,dispersion_shifted,0.29574953494432127,33
fi,checkpoint,dist_std,0.3504986710918661,33
fi,checkpoint,gini,0.35145387808433337,33
fi,checkpoint,iqr,0.17002508126368682,33
fi,checkpoint,mad,0.3167133952698681,33
fi,checkpoint,mpd,0.34733129243130895,33
fi,checkpoint,mpsd,0.3446786160179997,33
fi,checkpoint,projection,-0.26599083145421376,33
fi,checkpoint,quartile_deviation,0.3349319945960844,33
