cell,size,L,arch,scheme,seed,iter,frac,loss
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,2,2e-05,11.853
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,150,0.00185,6.544
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,298,0.00368,5.6448
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,151,0.00186,6.5435
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,446,0.00551,5.0767
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,304,0.00375,5.6501
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,453,0.00559,5.1078
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,600,0.00741,4.6295
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,750,0.00926,4.2405
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,601,0.00742,4.656
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,755,0.00932,4.2823
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,892,0.01101,4.0025
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,993,0.01226,8.3667
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,919,0.01135,3.9723
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,1052,0.01299,4.4238
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,1183,0.0146,3.821
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,1202,0.01484,3.8426
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,1346,0.01662,3.6407
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,1352,0.01669,3.6708
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,1497,0.01848,3.5131
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,1649,0.02036,3.4074
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,1502,0.01854,3.5552
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,1672,0.02064,3.3863
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,1746,0.02156,5.9827
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,1801,0.02223,3.815
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,1939,0.02394,3.3643
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,2088,0.02578,3.2758
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,1954,0.02412,3.4042
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,2238,0.02763,3.2071
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,2107,0.02601,3.3134
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,2269,0.02801,3.2485
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,2379,0.02937,3.1542
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,2418,0.02985,3.1971
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,2501,0.03088,3.1025
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,2562,0.03163,3.1507
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,2685,0.03315,3.0599
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,2758,0.03405,3.1085
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,2772,0.03422,3.0288
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,2990,0.03691,2.9983
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,2852,0.03521,3.087
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,3022,0.03731,3.0436
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,3088,0.03812,2.9704
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,3236,0.03995,3.0269
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,3298,0.04072,2.9573
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,3326,0.04106,3.0004
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,3437,0.04243,2.9271
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,3537,0.04367,2.8946
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,3472,0.04286,2.9769
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,3630,0.04481,2.885
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,3735,0.04611,2.9942
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,3755,0.04636,2.9427
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,3882,0.04793,2.8733
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4010,0.04951,2.8567
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,3924,0.04844,2.9333
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4086,0.05044,2.9221
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4197,0.05181,2.8348
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4282,0.05286,2.8971
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4212,0.052,2.8401
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4364,0.05388,2.8862
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4462,0.05509,2.8129
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4542,0.05607,2.8031
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4573,0.05646,2.8717
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4736,0.05847,2.7952
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4711,0.05816,2.8592
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4940,0.06099,2.7784
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4832,0.05965,2.8571
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4955,0.06117,2.7618
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4960,0.06123,2.8433
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,5239,0.06468,2.7538
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,5187,0.06404,2.8306
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,5359,0.06616,2.7475
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,5387,0.06651,2.8127
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,5406,0.06674,2.7424
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,5516,0.0681,2.8147
