subset,split,code,script,name,family,words,documents,utf8_bytes,utf8_bytes_human,parquet_bytes,parquet_bytes_human,bible_ratio,wiki_ratio
aai_Latn,train,aai,Latn,Arifama-Miniafia,Austronesian,473139,615,2687643,2.56MB,834074,814.53KB,1.000,0.000
aai_Latn,test,aai,Latn,Arifama-Miniafia,Austronesian,4348,8,25449,24.85KB,21010,20.52KB,-,-
aai_Latn_removed,train,aai,Latn,Arifama-Miniafia,Austronesian,-,9145,3964814,3.78MB,1328536,1.27MB,-,-
aak_Latn,train,aak,Latn,Ankave,Trans-New Guinea,860882,1560,7405380,7.06MB,1899659,1.81MB,0.999,0.000
aak_Latn,test,aak,Latn,Ankave,Trans-New Guinea,3778,8,31829,31.08KB,16654,16.26KB,-,-
aak_Latn_removed,train,aak,Latn,Ankave,Trans-New Guinea,-,6741,3151987,3.01MB,1062497,1.01MB,-,-
aau_Latn,train,aau,Latn,Abau,Sepik,734116,1992,3011948,2.87MB,994780,971.46KB,0.997,0.000
aau_Latn,test,aau,Latn,Abau,Sepik,6628,23,27379,26.74KB,18338,17.91KB,-,-
aau_Latn_removed,train,aau,Latn,Abau,Sepik,-,6373,2416191,2.30MB,966729,944.07KB,-,-
aaz_Latn,train,aaz,Latn,Amarasi,Austronesian,644645,2559,3056815,2.92MB,1105169,1.05MB,1.000,0.000
aaz_Latn,test,aaz,Latn,Amarasi,Austronesian,8983,25,42290,41.30KB,23091,22.55KB,-,-
aaz_Latn_removed,train,aaz,Latn,Amarasi,Austronesian,-,6646,5096135,4.86MB,1583797,1.51MB,-,-
aba_Latn,train,aba,Latn,Abé,Niger-Congo,125876,198,665148,649.56KB,273562,267.15KB,0.990,0.000
aba_Latn,test,aba,Latn,Abé,Niger-Congo,202,1,1108,1.08KB,10127,9.89KB,-,-
aba_Latn_removed,train,aba,Latn,Abé,Niger-Congo,-,13062,5963847,5.69MB,2742512,2.62MB,-,-
abi_Latn,train,abi,Latn,Abidji,Niger-Congo,2717,3,14629,14.29KB,16164,15.79KB,1.000,0.000
abi_Latn_removed,train,abi,Latn,Abidji,Niger-Congo,-,26,35062,34.24KB,17198,16.79KB,-,-
abk_Cyrl,train,abk,Cyrl,Abkhazian,Abkhaz-Adyghe,1873096,2670,22996358,21.93MB,5570867,5.31MB,0.000,0.017
abk_Cyrl,test,abk,Cyrl,Abkhazian,Abkhaz-Adyghe,17864,26,220813,215.64KB,71946,70.26KB,-,-
abk_Cyrl_removed,train,abk,Cyrl,Abkhazian,Abkhaz-Adyghe,-,122554,270236971,257.72MB,75717396,72.21MB,-,-
abn_Latn,train,abn,Latn,Abua,Niger-Congo,68745,189,428665,418.62KB,163889,160.05KB,1.000,0.000
abn_Latn_removed,train,abn,Latn,Abua,Niger-Congo,-,13194,23675785,22.58MB,4494896,4.29MB,-,-
abq_Cyrl,train,abq,Cyrl,Abaza,Abkhaz-Adyghe,565809,968,7654014,7.30MB,2061394,1.97MB,0.001,0.000
abq_Cyrl,test,abq,Cyrl,Abaza,Abkhaz-Adyghe,7527,12,101960,99.57KB,38444,37.54KB,-,-
abq_Cyrl_removed,train,abq,Cyrl,Abaza,Abkhaz-Adyghe,-,584,1719795,1.64MB,388647,379.54KB,-,-
abs_Latn,train,abs,Latn,Ambonese Malay,Creole,108471,210,513825,501.78KB,202610,197.86KB,0.000,0.019
abs_Latn,test,abs,Latn,Ambonese Malay,Creole,1592,3,7840,7.66KB,15257,14.90KB,-,-
abs_Latn_removed,train,abs,Latn,Ambonese Malay,Creole,-,276059,423551588,403.93MB,144103504,137.43MB,-,-
