model,head_dim,hidden_size,intermediate_size,num_hidden_layers,num_attention_heads,num_key_value_heads,width_depth_ratio,ffw_multiplier,gqa_ratio
Qwen3.5-0.8B,256,1024,3584,24,8,2,42.667,3.5,4.0
Qwen3.5-2B,256,2048,6144,24,8,2,85.333,3.0,4.0
Qwen3.5-4B,256,2560,9216,32,16,4,80.0,3.6,4.0
Qwen3.5-9B,256,4096,12288,32,16,4,128.0,3.0,4.0
Qwen3-0.6B,128,1024,3072,28,16,8,36.571,3.0,2.0
Qwen3-1.7B,128,2048,6144,28,16,8,73.143,3.0,2.0
Qwen3-4B,128,2560,9728,36,32,8,71.111,3.8,4.0
Qwen3-8B,128,4096,12288,36,32,8,113.778,3.0,4.0
SmolLM2-135M,N/A,576,1536,30,9,3,19.2,2.667,3.0
SmolLM2-360M,N/A,960,2560,32,15,5,30.0,2.667,3.0
SmolLM2-1.7B,N/A,2048,8192,24,32,32,85.333,4.0,1.0
SmolLM3-3B,N/A,2048,11008,36,16,4,56.889,5.375,4.0
OLMo-2-0425-1B,N/A,2048,8192,16,16,16,128.0,4.0,1.0
